tEnlem,tBoylam
37,35.321333
37.764751,38.278561
38.750714,30.556692
39.626922,43.021596
38.36869,34.03698
40.64991,35.83532
39.92077,32.85411
36.88414,30.70563
41.110481,42.702171
41.18277,41.818292
37.856041,27.841631
39.648369,27.88261
41.581051,32.460979
37.881168,41.13509
40.255169,40.22488
40.056656,30.066524
39.062635,40.76961
38.393799,42.12318
40.575977,31.578809
37.461267,30.066524
40.266864,29.063448
40.155312,26.41416
40.601343,33.613421
40.550556,34.955556
37.77652,29.08639
37.91441,40.230629
40.843849,31.15654
41.681808,26.562269
38.680969,39.226398
39.75,39.5
39.9,41.27
39.776667,30.520556
37.06622,37.38332
40.912811,38.38953
40.438588,39.508556
37.583333,43.733333
36.401849,36.34981
39.887984,44.004836
37.764771,30.556561
41.00527,28.97696
38.41885,27.12872
37.585831,36.937149
41.2061,32.62035
37.17593,33.228748
40.616667,43.1
41.38871,33.78273
38.73122,35.478729
39.846821,33.515251
41.733333,27.216667
39.14249,34.17091
36.718399,37.12122
40.85327,29.88152
37.866667,32.483333
39.416667,29.983333
38.35519,38.30946
38.619099,27.428921
37.321163,40.724477
36.8,34.633333
37.215278,28.363611
38.946189,41.753893
38.69394,34.685651
37.966667,34.683333
40.983879,37.876411
37.213026,36.176261
41.02005,40.523449
40.693997,30.435763
41.292782,36.33128
37.933333,41.95
42.02314,35.153069
39.747662,37.017879
37.159149,38.796909
37.418748,42.491834
40.983333,27.516667
40.316667,36.55
41.00145,39.7178
39.307355,39.438778
38.682301,29.40819
38.48914,43.40889
40.65,29.266667
39.818081,34.81469
41.456409,31.798731
