,Sehir Adi,Vaka Sayisi
0,Adana,7.7
1,Adıyaman,18.34
2,Afyon,55.37
3,Ağrı,80.12
4,Aksaray,34.99
5,Amasya,30.7
6,Ankara,94.87
7,Antalya,28.49
8,Ardahan,45.76
9,Artvin,44.84
10,Aydın,16.53
11,Balıkesir,51.92
12,Bartın,64.33
13,Batman,41.59
14,Bayburt,58.6
15,Bilecik,66.3
16,Bingöl,30.52
17,Bitlis,76.64
18,Bolu,107.05
19,Burdur,37.07
20,Bursa,49.29
21,Çanakkale,39.7
22,Çankırı,66
23,Çorum,80.36
24,Denizli,49.48
25,Diyarbakır,52.88
26,Düzce,74.3
27,Edirne,16.43
28,Elazığ,52.55
29,Erzincan,88.3
30,Erzurum,95.08
31,Eskişehir,99.79
32,Gaziantep,37.84
33,Giresun,52.15
34,Gümüşhane,98.8
35,Hakkari,39.57
36,Hatay,5.97
37,Iğdır,16.89
38,Isparta,76.54
39,İstanbul,55.2
40,İzmir,32.04
41,Kahramanmaraş,19.35
42,Karabük,41.05
43,Karaman,49.43
44,Kars,129.51
45,Kastamonu,70.41
46,Kayseri,86.46
47,Kırıkkale,54.9
48,Kırklareli,58.05
49,Kırşehir,56.78
50,Kilis,28.71
51,Kocaeli,62.49
52,Konya,49.29
53,Kütahya,88.26
54,Malatya,55.82
55,Manisa,34.95
56,Mardin,37.79
57,Mersin,16.48
58,Muğla,33.37
59,Muş,52.54
60,Nevşehir,39.68
61,Niğde,61.31
62,Ordu,59.76
63,Osmaniye,7.66
64,Rize,80.15
65,Sakarya,62.15
66,Samsun,46.6
67,Siirt,44.4
68,Sinop,32.8
69,Sivas,88.85
70,Şanlıurfa,33.14
71,Şırnak,21.57
72,Tekirdağ,49.86
73,Tokat,97.51
74,Trabzon,65.65
75,Tunceli,22.77
76,Uşak,42.23
77,Van,37.85
78,Yalova,33.69
79,Yozgat,66.33
80,Zonguldak,74.76
